Date,Address,Location,Area,ExtraArea,TotalArea,Rooms,LandArea,Price
2017-11-23,Sjöhåla 580,"Kovikshamn, Kungälvs kommun",94,87,181,5,1068,3100000
2017-11-18,Galeasgatan 15,"Kungälv, Kungälvs kommun",103,64,167,5,610,3850000
2017-11-15,Rishammarvägen 17,"Kareby, Kungälvs kommun",120,80,200,6,1142,4375000
2017-11-10,Nygatan 14,"Marstrand - Koön, Kungälvs kommun",167,80,247,6,677,10800000
2017-11-01,Kodevägen 3,"KODE, Kungälvs kommun",150,50,200,7,2025,4300000
2017-10-27,Staby 350,"Kärna, Kungälvs kommun",110,80,190,4,911,2425000
2017-10-23,Östra Gatan 9,"Centrum, Kungälvs kommun",325,82,407,10,359,7900000
2017-10-20,Fredkullagatan 8,"Komarken, Kungälvs kommun",175,100,275,6,741,7160000
2017-10-16,Mjölnarvägen 13,"Diseröd, Kungälvs kommun",158,59,217,7,899,3965000
2017-10-13,Kulperödsvägen 5A,"Gullbringa, Kungälvs kommun",100,20,120,5,450,2495000
2017-10-13,Stora Ryr 130,"Lycke, Kungälvs kommun",80,20,100,5,2270,1600000
2017-10-12,Röd 140,"Kareby, Kungälvs kommun",122,11,133,4,2052,3400000
2017-10-05,Kärnavägen 4,"Kärna, Kungälvs kommun",110,90,200,7,860,4100000
2017-10-05,Enekullsvägen 28,"Enekullen, Kungälvs kommun",125,18,143,4,789,4100000
2017-10-03,Skårshöjd 8,"Kärna, Kungälvs kommun",120,40,160,5,900,2700000
2017-09-21,Bergåsvägen 23,"Ytterby, Kungälvs kommun",131,37,168,5,1267,4575000
2017-09-20,Vävra 710,"Hålta, Kungälvs kommun",100,100,200,5,4794,3650000
2017-09-20,Trätäljagatan 2,"Iskällan, Kungälvs kommun",147,147,294,9,937,5875000
2017-09-10,Torp 340,"Kareby, Kungälvs kommun",127,100,227,6,21023,4325000
2017-09-08,Västra Åkerhögsvägen 17,"Kärna, Kungälvs kommun",155,20,175,6,1824,4575000
2017-09-07,Rävo 170,"Hålta, Kungälvs kommun",165,60,225,5,4627,7150000
2017-09-05,Snäckliden 13,"Sundhammar, Kungälvs kommun",48,33,81,4,1590,2800000
2017-08-31,Sjöhåla 170,"KÄRNA, Kungälvs kommun",124,72,196,5,2035,3550000
2016-10-08,Solvagnsgatan 28,"Ytterby - Stället, Kungälvs kommun",164,12,176,6,441,4725000
2016-10-05,Sköldgatan 5,"Ytterby Stället, Kungälvs kommun",137,8,145,5,437,4400000
2016-09-29,Lökebergsvägen 41,"Lökeberg, Kungälvs kommun",44,6,50,2,1511,2550000
2016-09-29,Domsvägen 3,"Ytterby, Kungälvs kommun",157,99,256,6,921,4850000
2016-09-13,Kastellegårdsgatan 47,"KUNGÄLV, Kungälvs kommun",116,50,166,4,938,3425000
2016-09-09,Annas väg 25,"Kovikshamn, Kungälvs kommun",62,22,84,3,1026,2730000
2016-09-02,Knaverstad-Ryr 580,"Aröd, Kungälvs kommun",158,4,162,6,1012,2840000
2016-09-01,Solrosvägen 12,"Kärna, Kungälvs kommun",135,96,231,8,818,3325000
2016-08-26,Skårby Mosse 870,"Bohuslän, Kungälvs kommun",147,50,197,5,3073,4000000
2016-08-25,Rörtången 126,"Rörtången, Kungälvs kommun",170,20,190,5,1638,8700000
2016-08-20,Tegskiftegatan 20,"YTTERBY, Kungälvs kommun",102,102,204,5,969,3550000
2016-08-18,Bärtas väg 23,"Ödsmålsmosse, Kungälvs kommun",51,20,71,3,1380,3025000
2016-08-15,Långgatan 8,"Marstrandsön, Kungälvs kommun",244,50,294,11,318,11250000
2016-08-12,Åsebyberg 847,"KODE, Kungälvs kommun",120,15,135,4,1163,3300000
2016-07-28,Tröskvägen 256,"Ullstorp, Kungälvs kommun",149,9,158,6,440,5355000
2016-07-25,Stenstavägen 21,"Tjuvkil, Kungälvs kommun",140,58,198,6,1223,6000000
2016-07-20,Rombacka 180,"Kareby, Kungälvs kommun",53,7,60,2,2031,1075000
2016-07-18,Vedbackavägen 4 A + B,"Rödbo, Kungälvs kommun",254,42,296,7,1046,2900000
2016-07-15,Gunneröd 290,"Lycke, Kungälvs kommun",132,39,171,4,2125,2300000
2016-07-13,Duvesjön 228,"Duvesjön, Kungälvs kommun",121,37,158,5,1150,3400000
2016-07-11,Violgatan 7,"Ytterby, Kungälvs kommun",139,36,175,7,588,4200000
2016-07-08,Rörtången 103,"Rörtången, Kungälvs kommun",162,62,224,5,1015,7250000
2016-07-06,Nereby 360,"Kärna - Harestad, Kungälvs kommun",120,40,160,6,1149,3100000
2016-07-05,Mariebergsvägen 130,"Östra Kungälv - Marieberg, Kungälvs kommun",230,41,271,10,2100,5520000
2016-07-05,Lerlycke 240,"Lerlycke - Kärna, Kungälvs kommun",129,44,173,3,12665,4420000
2016-07-04,Rörtången 295,"Kode, Kungälvs kommun",90,15,105,4,1795,5275000
2016-06-28,Rörmossevägen 180,"Rörmossen, Kungälvs kommun",110,135,245,6,1827,3725000
2021-04-20,Gulskärsvägen 21,"Tjuvkil, Kungälvs kommun",149,14,163,6,1512,7400000
2021-04-20,Mårdgatan 4,"Olseröd, Kungälvs kommun",124,45,169,5,1122,7150000
2021-04-16,Lindvägen 8,"Ytterby, Kungälvs kommun",244,72,316,7,1330,7700000
2021-04-15,Duvesjön 228,"Diseröd, Kungälvs kommun",121,37,158,5,1150,4925000
2021-04-15,Kuskalundsvägen 11,"Hålta, Kungälvs kommun",110,49,159,3,1227,4025000
2021-04-14,Ulvesund 412,"Ulvesund, Kungälvs kommun",106,9,115,4,806,4750000
2021-04-13,Klintegatan 7,"Kungälv - Centrum, Kungälvs kommun",143,112,255,5,798,7750000
2021-04-08,Prästvägen 170,"Kareby, Kungälvs kommun",95,140,235,7,2868,3770000
2021-04-04,Hammarberg 825,"Kode, Kungälvs kommun",65,74,139,5,3030,4350000
2021-04-02,Duvesjön 420,"Bohuslän, Kungälvs kommun",127,10,137,5,834,5400000
2021-04-01,Rönnvägen 11,"Diseröd, Kungälvs kommun",120,88,208,6,849,3465000
2021-04-01,Toreby mosse 570,"Ytterby, Kungälvs kommun",110,80,190,8,1375,2980000
2021-04-01,Häljeröd 106,"Diseröd, Kungälvs kommun",120,90,210,8,1734,3700000
2021-03-26,Domsvägen 7B,"Centralt Ytterby, Kungälvs kommun",159,62,221,6,600,5500000
2021-03-23,Ekvägen 2,"Ytterby, Kungälvs kommun",177,60,237,7,769,7700000
2021-03-22,Råckeröd 140,"Kärna, Kungälvs kommun",66,20,86,3,2269,3800000
2021-03-18,Hallbjörtorp 492,"Kärna, Kungälvs kommun",104,8,112,3,1499,3900000
2021-03-18,Dösebacka 130,"Diseröd, Kungälvs kommun",123,41,164,6,4859,5350000
2021-03-17,Åsgatan 17A,"Centrum, Kungälvs kommun",84,44,128,4,903,5620000
2021-03-17,Tvetgatan 263,"Tveten, Kungälvs kommun",100,50,150,6,138,3850000
2021-03-16,Tjuvkil 450,"Tjuvkil, Kungälvs kommun",237,118,355,8,1434,3120000
2021-03-16,Rondan 19,"Rörtången / Ödsmålsmosse, Kungälvs kommun",60,60,120,4,1927,4400000
2021-03-16,Åsebyberg 960,"Kode, Kungälvs kommun",157,16,173,5,1038,3850000
2021-03-16,Ulvegärdegatan 15,"Ulvegärde, Kungälvs kommun",140,96,236,7,1438,6100000
2021-03-12,Flateby 480,"Harestad, Kungälvs kommun",59,16,75,3,1194,1600000
2021-03-10,Älvängen 130,"Harestad, Kungälvs kommun",317,71,388,10,1180,5250000
2021-03-03,Tegskiftegatan 46,"Ytterby, Kungälvs kommun",184,54,238,8,865,6850000
2021-02-27,Granliden 11,"Vedhall, Kungälvs kommun",253,23,276,5,578,9200000
2021-02-22,Annas väg 4,"Kärna, Kungälvs kommun",102,7,109,4,1158,3700000
2021-02-18,Madängsgatan 13,"Centrum, Kungälvs kommun",154,18,172,7,740,5750000
